Season,Rk,ID,Name,Age,TGTS,REC,YDS,TD,Cushion,TGT_SEP,True_Catch_Rate,Contested_TGTS,Contested_REC,Contested_Rate,Y/REC,Y/TGT,Y/ROUTE,Total_Drops,Drop_Rate
2019,224,19961,R. McCloud,25.6,0,0,0,0,,,,,,,,,,0,
2019,225,21071,G. Dortch,24,0,0,0,0,,,,0,0,,,,,0,
2018,1,14986,D. Hopkins,30,163,115,1572,11,,1.44,88.5,43,24,55.8,13.7,9.6,,3,1.8
2018,2,18082,T. Hill,28.3,137,87,1479,12,,1.46,85.3,20,9,45,17,10.8,,5,3.6
2018,3,16470,D. Adams,29.5,169,111,1386,13,,1.67,87.4,15,6,40,12.5,8.2,,8,4.7
2018,4,13291,J. Jones,33.3,170,113,1677,8,,1.4,85,42,19,45.2,14.8,9.9,,8,4.7
2018,5,11056,A. Brown,33.9,169,104,1297,15,,1.31,86.7,28,5,17.9,12.5,7.7,,4,2.4
2018,6,17960,M. Thomas,29.3,147,125,1405,9,,1.47,89.3,23,17,73.9,11.2,9.6,,4,2.7
2018,7,15534,A. Thielen,31.8,155,113,1373,9,,1.45,86.3,18,10,55.6,12.2,8.9,,5,3.2
2018,8,18883,J. Smith-Schuster,25.5,166,111,1426,7,,1.14,84.7,34,17,50,12.8,8.6,,9,5.4
2018,9,16597,M. Evans,28.8,139,86,1524,8,,1.28,81.9,31,19,61.3,17.7,11,,8,5.8
2018,10,14871,R. Woods,30.2,131,86,1219,6,,1.4,84.3,23,10,43.5,14.2,9.3,,4,3.1
2018,11,16906,S. Diggs,28.5,148,102,1021,9,,1.36,87.2,27,16,59.3,10,6.9,,4,2.7
2018,12,15076,K. Allen,30.1,137,97,1196,6,,1.5,85.8,20,9,45,12.3,8.7,,8,5.8
2018,13,16568,B. Cooks,28.7,116,80,1204,5,,1.21,87,32,16,50,15.1,10.4,,2,1.7
2018,14,14005,T. Hilton,32.6,120,76,1270,6,,1.04,78.4,32,10,31.2,16.7,10.6,,6,5
2018,15,16389,O. Beckham Jr.,29.6,124,77,1052,6,,1.65,84.6,27,10,37,13.7,8.5,,4,3.2
2018,16,17986,T. Boyd,27.6,108,76,1028,7,,1.41,87.4,13,7,53.8,13.5,9.5,,5,4.6
2018,17,16830,T. Lockett,29.7,71,57,965,10,,1.77,96.6,9,8,88.9,16.9,13.6,,0,0
2018,18,16765,A. Cooper,28,108,75,1005,7,,1.71,92.6,15,10,66.7,13.4,9.3,,4,3.7
2018,19,16020,J. Landry,29.5,148,81,976,4,,1.66,79.4,22,15,68.2,12,6.6,,9,6.1
2018,20,8355,J. Edelman,36,108,74,850,6,,1.48,82.2,11,2,18.2,11.5,7.9,,8,7.4
2018,21,18977,K. Golladay,28.6,118,70,1063,5,,1.29,77.8,18,10,55.6,15.2,9,,6,5.1
2018,22,19802,C. Ridley,27.5,92,64,821,10,,1.84,82.1,12,4,33.3,12.8,8.9,,7,7.6
2018,23,11063,E. Sanders,35.2,98,71,868,4,,1.56,79.8,14,7,50,12.2,8.9,,5,5.1
2018,24,17290,A. Humphries,29,104,76,816,5,,1.65,84.4,9,3,33.3,10.7,7.8,,6,5.8
2018,25,14187,A. Jeffery,32.3,92,65,843,6,,1.15,82.3,26,15,57.7,13,9.2,,4,4.3
2018,26,5571,L. Fitzgerald,38.8,112,69,734,6,,1.03,85.2,23,11,47.8,10.6,6.6,,0,0
2018,27,18879,C. Davis,27.4,112,65,891,4,,1.54,75.6,15,5,33.3,13.7,8,,10,8.9
2018,28,18880,C. Godwin,26.3,95,59,842,7,,1.4,85.5,23,11,47.8,14.3,8.9,,2,2.1
2018,29,11611,G. Tate,33.9,113,74,795,4,,1.39,78.7,9,4,44.4,10.7,7,,10,8.8
2018,30,17961,S. Shepard,29.3,107,66,872,4,,1.63,77.6,26,10,38.5,13.2,8.1,,6,5.6
2018,31,13878,M. Sanu Sr.,32.8,94,66,838,4,,1.52,84.6,15,7,46.7,12.7,8.9,,2,2.1
2018,32,18914,M. Williams,27.7,66,43,664,10,,1.22,79.6,18,9,50,15.4,10.1,,2,3
2018,33,18992,D. Westbrook,28.5,101,66,717,5,,1.48,77.6,32,9,28.1,10.9,7.1,,4,4
2018,34,16781,N. Agholor,29,97,64,736,4,,1.14,85.3,10,3,30,11.5,7.6,,3,3.1
